Layer,	Cycles,	% Utilization,
Conv1,	27699,	98.48192285822593,
CB2a_1,	3263,	97.36392231947484,
CB2a_2,	26595,	98.76666653429629,
CB2a_3,	12671,	99.33110077734591,
CB2s,	12671,	99.33110077734591,
IB2b_1,	12671,	99.33110077734591,
IB2b_2,	26595,	98.76666653429629,
IB2b_3,	12671,	99.33110077734591,
IB2c_1,	12671,	99.33110077734591,
IB2c_2,	26595,	98.76666653429629,
IB2c_3,	12671,	99.33110077734591,
CB3a_1,	6720,	93.18603842647715,
CB3a_2,	25408,	95.73518701477447,
CB3a_3,	13375,	93.7059433411215,
CB3s,	26687,	93.96773680771537,
IB3b_1,	13376,	93.7059433411215,
IB3b_2,	25408,	95.73518701477447,
IB3b_3,	13375,	93.7059433411215,
IB3c_1,	13376,	93.7059433411215,
IB3c_2,	25408,	95.73518701477447,
IB3c_3,	13375,	93.7059433411215,
IB3d_1,	13376,	93.7059433411215,
IB3d_2,	25408,	95.73518701477447,
IB3d_3,	13375,	93.7059433411215,
CB4a_1,	8255,	75.84898238756814,
CB4a_2,	27711,	74.79040785924363,
CB4a_3,	16447,	76.20437463424182,
CB4s,	32831,	76.38309371049846,
IB4b_1,	16447,	76.20437463424182,
IB4b_2,	27711,	74.79040785924363,
IB4b_3,	16447,	76.20437463424182,
IB4c_1,	16447,	76.20437463424182,
IB4c_2,	27711,	74.79040785924363,
IB4c_3,	16447,	76.20437463424182,
IB4d_1,	16447,	76.20437463424182,
IB4d_2,	27711,	74.79040785924363,
IB4d_3,	16447,	76.20437463424182,
IB4e_1,	16447,	76.20437463424182,
IB4e_2,	27711,	74.79040785924363,
IB4e_3,	16447,	76.20437463424182,
IB4f_1,	16447,	76.20437463424182,
IB4f_2,	27711,	74.79040785924363,
IB4f_3,	16447,	76.20437463424182,
RPN_Conv1,	221247,	74.97374876128265,
RPN_Conv_bbox,	2087,	42.251588379140664,
RPN_Conv3_cls,	2069,	21.344357691434624,
