Layer,	Cycles,	% Utilization,
Conv1,	735007,	90.82953502254836,
CB2a_1,	83847,	91.18764790983703,
CB2a_2,	699851,	91.42681969615597,
CB2a_3,	318595,	95.99477318208564,
CB2s,	318595,	95.99477318208564,
IB2b_1,	335367,	91.19385841251514,
IB2b_2,	699851,	91.42681969615597,
IB2b_3,	318595,	95.99477318208564,
IB2c_1,	335367,	91.19385841251514,
IB2c_2,	699851,	91.42681969615597,
IB2c_3,	318595,	95.99477318208564,
CB3a_1,	174081,	90.11095956707726,
CB3a_2,	656643,	90.35880861678545,
CB3a_3,	312583,	97.8409277352866,
CB3s,	644103,	96.07696765150558,
IB3b_1,	337923,	90.50422764651303,
IB3b_2,	656643,	90.35880861678545,
IB3b_3,	312583,	97.8409277352866,
IB3c_1,	337923,	90.50422764651303,
IB3c_2,	656643,	90.35880861678545,
IB3c_3,	312583,	97.8409277352866,
IB3d_1,	337923,	90.50422764651303,
IB3d_2,	656643,	90.35880861678545,
IB3d_3,	312583,	97.8409277352866,
CB4a_1,	175107,	90.73764286163215,
CB4a_2,	525323,	96.23825087943153,
CB4a_3,	322051,	94.96464882593685,
CB4s,	681985,	90.74021143461735,
IB4b_1,	330755,	92.46558559038802,
IB4b_2,	525323,	96.23825087943153,
IB4b_3,	322051,	94.96464882593685,
IB4c_1,	330755,	92.46558559038802,
IB4c_2,	525323,	96.23825087943153,
IB4c_3,	322051,	94.96464882593685,
IB4d_1,	330755,	92.46558559038802,
IB4d_2,	525323,	96.23825087943153,
IB4d_3,	322051,	94.96464882593685,
IB4e_1,	330755,	92.46558559038802,
IB4e_2,	525323,	96.23825087943153,
IB4e_3,	322051,	94.96464882593685,
IB4f_1,	330755,	92.46558559038802,
IB4f_2,	525323,	96.23825087943153,
IB4f_3,	322051,	94.96464882593685,
RPN_Conv1,	4091915,	98.84137930976377,
RPN_Conv_bbox,	26119,	82.32872803775834,
RPN_Conv3_cls,	17412,	61.753379773575446,
