Layer,	Cycles,	% Utilization,
Conv1,	12091,	24.21371897044677,
CB2a_1,	3263,	17.790859069525904,
CB2a_2,	7075,	23.351293391634577,
CB2a_3,	3455,	66.48279381324747,
CB2s,	3455,	66.48279381324747,
IB2b_1,	3455,	23.080713423400177,
IB2b_2,	7075,	23.351293391634577,
IB2b_3,	3455,	66.48279381324747,
IB2c_1,	3455,	23.080713423400177,
IB2c_2,	7075,	23.351293391634577,
IB2c_3,	3455,	66.48279381324747,
CB3a_1,	1167,	33.59310305916051,
CB3a_2,	3747,	41.57414643202542,
CB3a_3,	2048,	57.544222094287534,
CB3s,	2304,	66.23202815451313,
IB3b_1,	2191,	35.80030419360632,
IB3b_2,	3747,	41.57414643202542,
IB3b_3,	2048,	57.544222094287534,
IB3c_1,	2191,	35.80030419360632,
IB3c_2,	3747,	41.57414643202542,
IB3c_3,	2048,	57.544222094287534,
IB3d_1,	2191,	35.80030419360632,
IB3d_2,	3747,	41.57414643202542,
IB3d_3,	2048,	57.544222094287534,
CB4a_1,	963,	43.1206057870559,
CB4a_2,	2703,	48.82036859796307,
CB4a_3,	1295,	56.50782223508356,
CB4s,	2303,	65.42488260472075,
IB4b_1,	1475,	56.50782223508356,
IB4b_2,	2703,	48.82036859796307,
IB4b_3,	1295,	56.50782223508356,
IB4c_1,	1475,	56.50782223508356,
IB4c_2,	2703,	48.82036859796307,
IB4c_3,	1295,	56.50782223508356,
IB4d_1,	1475,	56.50782223508356,
IB4d_2,	2703,	48.82036859796307,
IB4d_3,	1295,	56.50782223508356,
IB4e_1,	1475,	56.50782223508356,
IB4e_2,	2703,	48.82036859796307,
IB4e_3,	1295,	56.50782223508356,
IB4f_1,	1475,	56.50782223508356,
IB4f_2,	2703,	48.82036859796307,
IB4f_3,	1295,	56.50782223508356,
RPN_Conv1,	18688,	55.23258539317105,
RPN_Conv_bbox,	743,	6.545204691367575,
RPN_Conv3_cls,	725,	3.2166606466031653,
