Layer,	Cycles,	% Utilization,
Conv1,	110281,	98.97567067309872,
Conv2red,	12576,	99.66873757455268,
Conv2,	317983,	99.03757814391807,
Inc3a_1x1,	9632,	97.62234256567335,
Inc3a_3x3red,	14431,	97.74795795509667,
Inc3a_3x3,	76063,	95.97657482530929,
Inc3a_5x5red,	4831,	48.819768951194185,
Inc3a_5x5,	7263,	99.42392131102199,
Inc3a_pp,	4847,	97.2471085179052,
Inc3b_1x1,	25631,	97.85809298310639,
Inc3b_3x3red,	25631,	97.85809298310639,
Inc3b_3x3,	152095,	95.9996463456228,
Inc3b_5x5red,	6447,	97.43442407868139,
Inc3b_5x5,	43231,	99.90364264069764,
Inc3b_pp,	12832,	97.71652881692775,
Inc4a_1x1,	20191,	87.33922098645436,
Inc4a_3x3red,	10111,	87.1789349161804,
Inc4a_3x3,	30255,	83.5256052718559,
Inc4a_5x5red,	3379,	43.53559027777778,
Inc4a_5x5,	3216,	58.299414366251945,
Inc4a_pp,	6752,	87.01913952562583,
Inc4b_1x1,	17951,	87.31915831638905,
Inc4b_3x3red,	14351,	76.47777974966901,
Inc4b_3x3,	35311,	89.90401804678429,
Inc4b_5x5red,	3611,	65.14400168075963,
Inc4b_5x5,	4832,	77.51318793986752,
Inc4b_pp,	7200,	87.04906388908181,
Inc4c_1x1,	14367,	87.27404544703138,
Inc4c_3x3red,	14367,	87.27404544703138,
Inc4c_3x3,	46111,	89.92649869337035,
Inc4c_5x5red,	3611,	65.14400168075963,
Inc4c_5x5,	464,	78.6321738760218,
Inc4c_pp,	7200,	87.04906388908181,
Inc4d_1x1,	14351,	76.47777974966901,
Inc4d_3x3red,	17935,	78.68038010524114,
Inc4d_3x3,	58351,	89.94191669808572,
Inc4d_5x5red,	3619,	86.60199472683264,
Inc4d_5x5,	6432,	77.66540366000622,
Inc4d_pp,	7200,	87.04906388908181,
Inc4e_1x1,	29599,	87.39032436695496,
Inc4e_3x3red,	18511,	87.32462919007618,
Inc4e_3x3,	72031,	89.95294777595757,
Inc4e_5x5red,	3731,	86.62898066474376,
Inc4e_5x5,	12831,	77.89464663217987,
Inc4e_pp,	14815,	87.2808782273034,
Inc5a_1x1,	13343,	76.33871693022559,
Inc5a_3x3red,	5351,	76.00448514296393,
Inc5a_3x3,	14431,	77.90303859746379,
Inc5a_5x5red,	1712,	74.80088495575221,
Inc5a_5x5,	3231,	27.747794800371402,
Inc5a_pp,	6687,	76.1159712875729,
Inc5b_1x1,	19999,	76.41319565978299,
Inc5b_3x3red,	10015,	76.26435346979531,
Inc5b_3x3,	20767,	77.9707588963259,
Inc5b_5x5red,	3344,	57.10344086423444,
Inc5b_5x5,	3231,	27.747794800371402,
Inc5b_pp,	6687,	76.1159712875729,
FC6,	32776,	3.0510225972540046,
