Layer,	Cycles,	% Utilization,
Conv1,	735007,	90.82953502254836,
Conv2red,	83847,	91.18764790983703,
Conv2,	1959563,	97.95849678412935,
Inc3a_1x1,	63367,	90.49416964062964,
Inc3a_3x3red,	88715,	96.95568742068825,
Inc3a_3x3,	492483,	90.35866768601478,
Inc3a_5x5red,	25347,	56.55870329351114,
Inc3a_5x5,	57611,	76.17287042580794,
Inc3a_pp,	38019,	75.41461099022622,
Inc3b_1x1,	168963,	90.50340480303647,
Inc3b_3x3red,	168963,	90.50340480303647,
Inc3b_3x3,	919305,	96.8124011127895,
Inc3b_5x5red,	50691,	75.41617700531873,
Inc3b_5x5,	268811,	97.95390849033028,
Inc3b_pp,	84487,	90.49688963149346,
Inc4a_1x1,	114249,	94.10932116110926,
Inc4a_3x3red,	57131,	94.09644167834765,
Inc4a_3x3,	155531,	99.03842473900588,
Inc4a_5x5red,	16323,	54.89146923854111,
Inc4a_5x5,	14405,	79.3356721376339,
Inc4a_pp,	40807,	87.8266975670356,
Inc4b_1x1,	104453,	91.49863141904267,
Inc4b_3x3red,	69645,	96.05653159390187,
Inc4b_3x3,	193549,	99.99100756815861,
Inc4b_5x5red,	17418,	82.30440565733464,
Inc4b_5x5,	27007,	84.63207069770313,
Inc4b_pp,	43527,	87.82772488228964,
Inc4c_1x1,	87043,	87.84003445476135,
Inc4c_3x3red,	87043,	87.84003445476135,
Inc4c_3x3,	262667,	96.23590035325907,
Inc4c_5x5red,	17418,	82.30440565733464,
Inc4c_5x5,	2047,	87.51541163607767,
Inc4c_pp,	43527,	87.82772488228964,
Inc4d_1x1,	69645,	96.05653159390187,
Inc4d_3x3red,	95747,	89.83663295178215,
Inc4d_3x3,	326603,	97.95521007516021,
Inc4d_5x5red,	26115,	73.19374925920876,
Inc4d_5x5,	36007,	84.63807302017196,
Inc4d_pp,	43527,	87.82772488228964,
Inc4e_1x1,	170547,	92.46476393741561,
Inc4e_3x3red,	107717,	91.4987719141802,
Inc4e_3x3,	397451,	99.37527489170012,
Inc4e_5x5red,	26931,	73.19401786927902,
Inc4e_5x5,	72003,	84.65246653081758,
Inc4e_pp,	89763,	87.84012847586497,
Inc5a_1x1,	79044,	78.59343286930024,
Inc5a_3x3red,	31926,	77.76494387888414,
Inc5a_3x3,	99372,	69.00375983990898,
Inc5a_5x5red,	12484,	62.206791712927135,
Inc5a_5x5,	8008,	68.49393166357707,
Inc5a_pp,	41602,	74.66485752975481,
Inc5b_1x1,	116486,	79.99638723151185,
Inc5b_3x3red,	58250,	79.98595316166569,
Inc5b_3x3,	145158,	68.02472413280047,
Inc5b_5x5red,	16646,	69.97772103733273,
Inc5b_5x5,	8008,	68.49393166357707,
Inc5b_pp,	41602,	74.66485752975481,
FC6,	73734,	8.266514056826718,
