Layer,	Cycles,	% Utilization,
Conv1,	12091,	24.21371897044677,
Conv2red,	3263,	17.790859069525904,
Conv2,	7203,	68.98785880732063,
Inc3a_1x1,	1039,	17.527871986875752,
Inc3a_3x3red,	1071,	25.211282069271434,
Inc3a_3x3,	2883,	40.810103788566245,
Inc3a_5x5red,	991,	4.3735104777752705,
Inc3a_5x5,	1295,	8.854591931413301,
Inc3a_pp,	1007,	8.7633116867855,
Inc3b_1x1,	1167,	33.59310305916051,
Inc3b_3x3red,	1167,	33.59310305916051,
Inc3b_3x3,	3811,	61.75715093714654,
Inc3b_5x5red,	1071,	9.280224840787914,
Inc3b_5x5,	2559,	26.937224057489978,
Inc3b_pp,	1103,	17.969008290449633,
Inc4a_1x1,	867,	35.33000578703704,
Inc4a_3x3red,	771,	17.62333622685185,
Inc4a_3x3,	1215,	34.086202840511206,
Inc4a_5x5red,	691,	2.7616825810185186,
Inc4a_5x5,	547,	5.376818089303607,
Inc4a_pp,	739,	11.542100694444445,
Inc4b_1x1,	867,	30.488571318069308,
Inc4b_3x3red,	819,	21.25691328898515,
Inc4b_3x3,	1375,	37.46959645994111,
Inc4b_5x5red,	731,	4.314986988375177,
Inc4b_5x5,	763,	7.94033328862661,
Inc4b_pp,	771,	11.886022586633663,
Inc4c_1x1,	835,	24.37317671499293,
Inc4c_3x3red,	835,	24.37317671499293,
Inc4c_3x3,	1551,	42.737258878598084,
Inc4c_5x5red,	731,	4.314986988375177,
Inc4c_5x5,	283,	0.24082410281107305,
Inc4c_pp,	771,	11.886022586633663,
Inc4d_1x1,	819,	21.25691328898515,
Inc4d_3x3red,	851,	27.456289504508486,
Inc4d_3x3,	2735,	29.70560746829296,
Inc4d_5x5red,	739,	5.79714849275106,
Inc4d_5x5,	963,	8.346404859566185,
Inc4d_pp,	771,	11.886022586633663,
Inc4e_1x1,	979,	43.803965055775066,
Inc4e_3x3red,	883,	30.872814553077454,
Inc4e_3x3,	3023,	33.21998386717458,
Inc4e_5x5red,	755,	5.880648664419088,
Inc4e_5x5,	1027,	16.011852276749593,
Inc4e_pp,	851,	24.680962569156293,
Inc5a_1x1,	1136,	12.772889475045998,
Inc5a_3x3red,	740,	8.16281176510492,
Inc5a_3x3,	2944,	5.95398675087071,
Inc5a_5x5red,	912,	2.2200428355823867,
Inc5a_5x5,	936,	1.4037690887944982,
Inc5a_pp,	1008,	7.84635891879562,
Inc5b_1x1,	1792,	13.093053156407036,
Inc5b_3x3red,	1072,	10.613411076490713,
Inc5b_3x3,	3584,	6.992213392670249,
Inc5b_5x5red,	928,	3.327178955078125,
Inc5b_5x5,	936,	1.4037690887944982,
Inc5b_pp,	1008,	7.84635891879562,
FC6,	4328,	0.35165531519022997,
