Layer name, IFMAP Height, IFMAP Width, Filter Height, Filter Width, Channels, Num Filter, Strides, Padding
Input Layer, 224, 224, 1,1,1, 3,1,
Conv1, 112, 112, 7, 7, 3, 64, 2, 3
MaxPool, 56, 56, 3, 3, 64, 64, 2, 1
ResidualBlock1_1, 56, 56, 3, 3, 64, 64, 1, 1
ResidualBlock1_2, 56, 56, 3, 3, 64, 64, 1, 1
ResidualBlock2_1, 56, 56, 3, 3, 64, 128, 2, 1
ResidualBlock2_2, 28, 28, 3, 3, 128, 128, 1, 1
ResidualBlock3_1, 28, 28, 3, 3, 128, 256, 2, 1
ResidualBlock3_2, 14, 14, 3, 3, 256, 256, 1, 1
ResidualBlock4_1, 14, 14, 3, 3, 256, 512, 2, 1
ResidualBlock4_2, 7, 7, 3, 3, 512, 512, 1, 1
AvgPool, 7, 7, 7, 7, 512, 512, 1,
FC, 1, 1, 1, 1, 512, 1000, 1,
