Layer,	Cycles,	% Utilization,
Input Layer,	50179,	9.275975318471337,
Conv1,	26491,	97.40047327394208,
MaxPool,	27679,	94.79631444416344,
ResidualBlock1_1,	106016,	99.01491497370655,
ResidualBlock1_2,	106016,	99.01491497370655,
ResidualBlock2_1,	55327,	94.85905954597213,
ResidualBlock2_2,	101407,	95.98810940997663,
ResidualBlock3_1,	55327,	87.96167275923148,
ResidualBlock3_2,	92191,	89.96323698896856,
ResidualBlock4_1,	73759,	56.21912188258382,
ResidualBlock4_2,	73759,	78.08157309616453,
AvgPool,	401440,	3.124638020969562,
FC,	16392,	3.0502876959917025,
