Layer,	Cycles,	% Utilization,
Input Layer,	50179,	21.394143221340304,
Conv1,	175672,	90.11762857821756,
MaxPool,	184327,	88.38919678705759,
ResidualBlock1_1,	699851,	91.42681969615597,
ResidualBlock1_2,	699851,	91.42681969615597,
ResidualBlock2_1,	368641,	90.4012724470686,
ResidualBlock2_2,	656643,	90.35880861678545,
ResidualBlock3_1,	350211,	88.0193076799565,
ResidualBlock3_2,	525323,	96.23825087943153,
ResidualBlock4_1,	340999,	74.99766791663542,
ResidualBlock4_2,	511496,	68.63903152237893,
AvgPool,	928264,	8.23672816865256,
FC,	36870,	8.265832438920961,
