Layer,	Cycles,	% Utilization,
Input Layer,	50179,	0.4508432715830177,
Conv1,	3019,	21.44876843163539,
MaxPool,	2008,	20.191258559992285,
ResidualBlock1_1,	7075,	23.351293391634577,
ResidualBlock1_2,	7075,	23.351293391634577,
ResidualBlock2_1,	2072,	40.66865395126029,
ResidualBlock2_2,	3747,	41.57414643202542,
ResidualBlock3_1,	1576,	50.265361945851105,
ResidualBlock3_2,	2703,	48.82036859796307,
ResidualBlock4_1,	4864,	13.002141238288479,
ResidualBlock4_2,	9472,	9.382761666369706,
AvgPool,	50432,	0.38766225758957784,
FC,	2280,	0.32486289988070427,
