Layer,	Cycles,	% Utilization,
Conv1,	84000,	75.89321145134791,
Conv2,	290596,	7.138051731305589,
Conv3,	167367,	91.36614374951206,
Conv4,	148032,	7.006207152130843,
Conv5,	167683,	91.19425812834453,
Conv6,	279948,	7.142436144810496,
Conv7,	335363,	91.19509343306255,
Conv8,	73728,	6.780133928566184,
Conv9,	160515,	95.2666194970435,
Conv10,	131332,	7.059126503698192,
Conv11,	321027,	95.26754684791938,
Conv12,	36864,	6.287202380953951,
Conv13,	161031,	94.96107818338444,
Conv14,	55308,	7.140726180355491,
Conv15,	322055,	94.96331593758873,
Conv16,	55308,	7.140726180355491,
Conv17,	322055,	94.96331593758873,
Conv18,	55308,	7.140726180355491,
Conv19,	322055,	94.96331593758873,
Conv20,	55308,	7.140726180355491,
Conv21,	322055,	94.96331593758873,
Conv22,	55308,	7.140726180355491,
Conv23,	322055,	94.96331593758873,
Conv24,	18432,	5.357142857142061,
Conv25,	189442,	80.72029147912323,
Conv26,	9225,	5.350173460538228,
Conv27,	378882,	80.72050609933783,
