Layer,	Cycles,	% Utilization,
Conv1,	12379,	9.746219480060747,
Conv2,	13892,	0.3825431473869097,
Conv3,	12639,	20.11338410244103,
Conv4,	7488,	0.3550602839543269,
Conv5,	3327,	36.037876878665685,
Conv6,	13924,	0.36760957763514057,
Conv7,	3391,	43.14167953482691,
Conv8,	3673,	0.3392387838924632,
Conv9,	1167,	44.84883971133475,
Conv10,	7076,	0.33302722297371906,
Conv11,	1295,	57.96118908510066,
Conv12,	2473,	0.231585456329642,
Conv13,	903,	43.1206057870559,
Conv14,	4752,	0.2098062620040518,
Conv15,	1280,	56.50782223508356,
Conv16,	4752,	0.2098062620040518,
Conv17,	1280,	56.50782223508356,
Conv18,	4752,	0.2098062620040518,
Conv19,	1280,	56.50782223508356,
Conv20,	4752,	0.2098062620040518,
Conv21,	1280,	56.50782223508356,
Conv22,	4752,	0.2098062620040518,
Conv23,	1280,	56.50782223508356,
Conv24,	4644,	0.05431050964657819,
Conv25,	2303,	16.13509807180851,
Conv26,	9225,	0.013715044271397985,
Conv27,	4351,	17.549788751867386,
