longitude,latitude,housingMedianAge,population,households,medianIncome,AveBedrms,AveRooms,AveOccupancy,logMedVal
-122.23,37.88,41,322,126,8.3252,1.0238095238095237,6.984126984126984,2.5555555555555554,14.97617861400881
-122.22,37.86,21,2401,1138,8.3014,0.9718804920913884,6.238137082601054,2.109841827768014,14.708136529875082
-122.24,37.85,52,496,177,7.2574,1.073446327683616,8.288135593220339,2.8022598870056497,14.687421080914614
-122.25,37.85,52,558,219,5.6431,1.0730593607305936,5.8173515981735155,2.547945205479452,14.651594705129016
-122.25,37.85,52,565,259,3.8462,1.0810810810810811,6.281853281853282,2.1814671814671813,14.654623236506264
-122.25,37.85,52,413,193,4.0368,1.1036269430051813,4.761658031088083,2.139896373056995,14.380825335496993
-122.25,37.84,52,1094,514,3.6591,0.9513618677042801,4.9319066147859925,2.1284046692607004,14.500197653844827
-122.25,37.84,52,1157,647,3.12,1.061823802163833,4.797527047913447,1.7882534775888717,14.253342175792403
-122.26,37.84,42,1206,595,2.0804,1.1176470588235294,4.294117647058823,2.026890756302521,14.181090261969963
-122.25,37.84,52,1551,714,3.6912,0.9901960784313726,4.970588235294118,2.172268907563025,14.343557567890302
-122.26,37.85,52,910,402,3.2031,1.0796019900497513,5.477611940298507,2.263681592039801,14.430070885546163
-122.26,37.85,52,1504,734,3.2705,1.0245231607629428,4.772479564032698,2.0490463215258856,14.255246149737253
-122.26,37.85,52,1098,468,3.075,1.0128205128205128,5.322649572649572,2.3461538461538463,14.112100928398439
-122.26,37.84,52,345,174,2.6736,1.0977011494252873,4,1.9827586206896552,13.985837878742593
-122.26,37.85,52,1212,620,1.9167,1.0096774193548388,4.262903225806451,1.9548387096774194,13.774604035251283
-122.26,37.85,50,697,264,2.125,1.071969696969697,4.242424242424242,2.640151515151515,13.626807356830156
-122.27,37.85,52,793,331,2.775,1.0483383685800605,5.9395770392749245,2.395770392749245,13.725157856284042
-122.27,37.85,52,648,303,2.1202,0.966996699669967,4.0528052805280526,2.1386138613861387,13.747561162191639
-122.26,37.84,50,990,419,1.9911,1.0859188544152745,5.343675417661098,2.3627684964200477,13.770986542491674
-122.27,37.84,52,690,275,2.6033,1.0836363636363637,5.465454545454546,2.5090909090909093,13.801025563778657
-122.27,37.85,40,409,166,1.3578,1.108433734939759,4.524096385542169,2.463855421686747,13.686820972976312
-122.27,37.85,42,929,366,1.7135,1.0027322404371584,4.478142076502732,2.5382513661202184,13.778930059161457
-122.27,37.84,52,1015,478,1.725,1.1317991631799162,5.096234309623431,2.1234309623430963,13.389537571850564
-122.27,37.84,52,853,325,2.1806,1.0369230769230768,5.193846153846154,2.624615384615385,13.236409099342419
-122.27,37.84,52,1006,422,2.6,1.0355450236966826,5.270142180094787,2.3838862559241707,13.564356210243984
-122.28,37.85,41,317,119,2.4038,1.0336134453781514,4.495798319327731,2.6638655462184873,13.323033045532332
-122.28,37.85,49,607,239,2.4597,1.0209205020920502,4.7280334728033475,2.5397489539748954,13.166258155243462
-122.28,37.85,52,1102,397,1.808,1.0604534005037782,4.7808564231738035,2.7758186397984885,13.301436166682997
-122.28,37.84,50,1131,473,1.6424,1.040169133192389,4.40169133192389,2.3911205073995774,13.337913105259208
-122.28,37.84,52,395,155,1.6875,1.032258064516129,4.703225806451613,2.5483870967741935,13.559140781803782
-122.28,37.84,49,863,378,1.9274,1.1825396825396826,5.068783068783069,2.2830687830687832,13.471367169926552
-122.28,37.84,52,1168,441,1.9615,1.090702947845805,4.882086167800454,2.6485260770975056,13.402588781330516
-122.27,37.84,48,1026,335,1.7969,1.2208955223880598,5.737313432835821,3.062686567164179,13.3536452247489
-122.27,37.83,49,754,329,1.375,1.1124620060790273,5.0303951367781155,2.291793313069909,13.294877213542046
-122.27,37.83,51,1258,536,2.7303,1.0708955223880596,4.972014925373134,2.3470149253731343,13.346330343202819
-122.27,37.83,49,570,264,1.4861,1.0681818181818181,4.6022727272727275,2.159090909090909,13.207204889015808
-122.27,37.83,48,987,374,1.0972,1.1550802139037433,4.807486631016043,2.6390374331550803,13.290483702945052
-122.28,37.83,52,901,403,1.4103,0.967741935483871,3.7493796526054592,2.235732009925558,13.283861803650415
-122.26,37.83,52,689,309,3.48,1.0679611650485437,4.757281553398058,2.2297734627831716,13.98643887170114
-122.26,37.83,52,1377,696,2.5898,1.0272988505747127,3.4942528735632186,1.978448275862069,13.889975165123332
-122.26,37.83,52,946,395,2.0978,1.0607594936708862,4.215189873417722,2.3949367088607594,13.746821374453035
-122.26,37.83,51,517,249,1.2852,1.248995983935743,3.7590361445783134,2.076305220883534,13.70614915904015
-122.26,37.84,49,462,189,1.025,1.0687830687830688,3.7724867724867726,2.4444444444444446,13.437976188797284
-122.26,37.84,52,467,198,3.9643,1.02020202020202,4.797979797979798,2.3585858585858586,13.970710062597567
-122.26,37.83,52,660,292,3.0125,1.0650684931506849,4.941780821917808,2.26027397260274,13.943591978620324
-122.26,37.83,52,718,382,2.6768,1.0994764397905759,4.335078534031414,1.8795811518324608,13.930420304766766
-122.26,37.83,50,616,304,2.026,1.0592105263157894,3.700657894736842,2.026315789473684,13.647161870494468
-122.27,37.82,43,558,253,1.7348,1.233201581027668,3.9802371541501977,2.205533596837945,13.606086075502077
-122.26,37.82,40,423,160,0.9506,1.21875,3.9,2.64375,13.962764243051492
-122.27,37.82,40,700,352,1.775,1.0653409090909092,2.6875,1.9886363636363635,13.375314775720604
-122.27,37.82,21,735,438,0.9218,1.0342465753424657,2.045662100456621,1.678082191780822,13.86286842007658
-122.27,37.82,43,1061,407,1.5045,1.1203931203931203,4.58968058968059,2.6068796068796067,13.166258155243462
-122.27,37.82,41,1959,720,1.1108,1.1847222222222222,4.473611111111111,2.720833333333333,13.210748805533829
-122.27,37.82,52,1162,400,1.2475,1.14,4.075,2.905,13.287177519546614
-122.28,37.82,52,701,233,1.6098,1.0085836909871244,5.021459227467811,3.0085836909871246,13.086303183197561
-122.28,37.82,52,576,220,1.4113,1.1045454545454545,4.295454545454546,2.618181818181818,13.02696997797007
-122.28,37.82,52,622,259,1.5057,1.111969111969112,4.77992277992278,2.4015444015444016,13.086303183197561
-122.28,37.82,52,728,244,0.8172,1.3729508196721312,6.102459016393443,2.9836065573770494,13.057019193501734
-122.28,37.82,52,1074,304,1.2171,1.1217105263157894,4.5625,3.5328947368421053,12.98755363492508
-122.29,37.82,2,94,57,2.5625,0.7543859649122807,2.7719298245614037,1.6491228070175439,12.652414817384873
-122.29,37.83,52,554,187,3.3929,1.1283422459893049,5.994652406417113,2.962566844919786,12.91971345533937
-122.29,37.82,49,86,23,6.1183,1.2608695652173914,5.869565217391305,3.739130434782609,12.909029901396213
-122.29,37.81,50,377,122,0.9011,1.5573770491803278,6.229508196721311,3.0901639344262297,13.067754393978193
-122.3,37.81,52,521,159,1.191,1.490566037735849,7.69811320754717,3.2767295597484276,12.925774075427244
-122.3,37.81,48,392,133,2.5938,1.368421052631579,6.225563909774436,2.9473684210526314,12.885796787981066
-122.3,37.81,52,604,187,1.1667,1.1176470588235294,5.401069518716578,3.229946524064171,12.960016087289272
-122.3,37.81,48,788,332,0.8056,1.0662650602409638,4.382530120481928,2.3734939759036147,13.044821082671655
-122.29,37.8,52,492,147,2.6094,1.6598639455782314,6.98639455782313,3.3469387755102042,13.001786489866285
-122.3,37.81,52,274,82,1.8516,1.329268292682927,6.975609756097561,3.341463414634146,13.05296751579332
-122.29,37.81,46,1823,611,0.9802,1.0540098199672667,4.584288052373159,2.983633387888707,13.534484400880233
-122.29,37.81,26,392,127,1.7719,1.1968503937007875,6.047244094488189,3.0866141732283463,13.018636608171187
-122.29,37.81,46,582,277,0.7286,1.0722021660649819,3.375451263537906,2.101083032490975,13.183295503896375
-122.29,37.81,49,560,152,1.75,1.3421052631578947,5.552631578947368,3.6842105263157894,12.909029901396213
-122.29,37.81,46,18,7,0.4999,0.5714285714285714,1.7142857142857142,2.5714285714285716,12.787865308389714
-122.29,37.81,20,290,133,2.483,1.2105263157894737,6.2781954887218046,2.180451127819549,13.606086075502077
-122.28,37.81,17,762,439,0.9241,1.0523917995444192,2.8177676537585423,1.7357630979498861,13.899734771082247
-122.28,37.81,36,1236,509,2.4464,1.1041257367387034,5.724950884086444,2.4282907662082516,13.26376420477567
-122.28,37.81,19,721,207,1.1111,1.173913043478261,5.830917874396135,3.4830917874396135,13.331559497937443
-122.29,37.81,23,1054,325,0.8026,1.1507692307692308,5.369230769230769,3.243076923076923,13.375314775720604
-122.28,37.8,38,344,155,2.0114,1.135483870967742,4.412903225806452,2.2193548387096773,13.55302606933452
-122.28,37.81,17,609,289,1.5,1,3.1972318339100347,2.1072664359861593,13.798198272864717
-122.27,37.81,52,183,56,1.1667,1,3.75,3.267857142857143,13.375314775720604
-122.28,37.81,52,200,87,1.5208,1.1149425287356323,3.9080459770114944,2.2988505747126435,13.375314775720604
-122.28,37.81,52,346,155,0.8075,1.0580645161290323,2.490322580645161,2.232258064516129,13.606086075502077
-122.28,37.81,35,467,169,1.8088,1.0887573964497042,5.609467455621302,2.7633136094674557,13.437976188797284
-122.28,37.81,52,377,115,2.4083,1.2434782608695651,6.721739130434782,3.2782608695652176,13.218975718493938
-122.27,37.81,40,582,380,0.977,1.186842105263158,2.3157894736842106,1.5315789473684212,13.437976188797284
-122.27,37.81,10,546,330,0.76,1.0545454545454545,2.6515151515151514,1.6545454545454545,13.798198272864717
-122.27,37.8,10,125,39,0.9722,1.0769230769230769,2.6923076923076925,3.2051282051282053,13.606086075502077
-122.27,37.8,52,396,85,1.2434,0.9176470588235294,2.929411764705882,4.658823529411765,15.090720184012676
-122.27,37.8,16,800,362,2.0938,1.0828729281767955,2.74585635359116,2.2099447513812156,13.798198272864717
-122.28,37.8,52,904,88,0.8668,0.9886363636363636,2.4431818181818183,10.272727272727273,13.606086075502077
-122.28,37.8,52,191,34,0.75,0.9117647058823529,2.823529411764706,5.617647058823529,13.798198272864717
-122.27,37.79,27,718,302,2.6354,1.1490066225165563,3.493377483443709,2.377483443708609,13.962764243051492
-122.27,37.8,39,1327,467,1.8477,1.3340471092077089,3.6723768736616704,2.841541755888651,13.91069644645141
