S.No.,Name,Country,Playing Role,IPL Matches,Capped / Uncapped / Associate,Base Price(in ₹ Lacs),IPL 2023 Team,Auctioned Price(in ₹ Lacs)
6,Kane Williamson,New Zealand,Batsman,76,Capped,200,Gujarat Titans,200
2,Harry Brook,England,Batsman,0,Capped,150,Sunrisers Hyderabad,"1,325"
1,Mayank Agarwal,India,Batsman,113,Capped,100,Sunrisers Hyderabad,825
3,Ajinkya Rahane,India,Batsman,158,Capped,50,Chennai Super Kings,50
7,Sam Curran,England,All-rounder,32,Capped,200,Punjab Kings,"1,850"
12,Odean Smith,West Indies,All-rounder,6,Capped,50,Gujarat Titans,50
11,Sikandar Raza,Zimbabwe,All-rounder,0,Capped,50,Punjab Kings,50
10,Jason Holder,West Indies,All-rounder,38,Capped,200,Rajasthan Royals,575
8,Cameron Green,Australia,All-rounder,0,Capped,200,Mumbai Indians,"1,750"
13,Ben Stokes,England,All-rounder,43,Capped,200,Chennai Super Kings,"1,625"
18,Nicholas Pooran,West Indies,Wicket-keeper,47,Capped,200,Lucknow Super Giants,"1,600"
16,Heinrich Klaasen,South Africa,Wicket-keeper,7,Capped,100,Sunrisers Hyderabad,525
19,Phil Salt,England,Wicket-keeper,0,Capped,200,Delhi Capitals,200
24,Reece Topley,England,Bowler,0,Capped,75,Royal Challengers Bangalore,190
25,Jaydev Unadkat,India,Bowler,91,Capped,50,Lucknow Super Giants,50
22,Jhye Richardson,Australia,Bowler,3,Capped,150,Mumbai Indians,150
23,Ishant Sharma,India,Bowler,93,Capped,50,Delhi Capitals,50
29,Adil Rashid,England,Bowler,0,Capped,200,Sunrisers Hyderabad,200
27,Mayank Markande,India,Bowler,20,Capped,50,Sunrisers Hyderabad,50
35,Shaik Rasheed,India,Batsman,0,Uncapped,20,Chennai Super Kings,20
41,Vivrant Sharma,India,All-rounder,0,Uncapped,20,Sunrisers Hyderabad,260
45,Samarth Vyas,India,All-rounder,0,Uncapped,20,Sunrisers Hyderabad,20
43,Sanvir Singh,India,All-rounder,0,Uncapped,20,Sunrisers Hyderabad,20
42,Nishant Sindhu,India,All-rounder,0,Uncapped,20,Chennai Super Kings,60
50,N Jagadeesan,India,Wicket-keeper,7,Uncapped,20,Kolkata Knight Riders,90
46,K. S. Bharat,India,Wicket-keeper,10,Uncapped,20,Gujarat Titans,120
52,Upendra Yadav,India,Wicket-keeper,0,Uncapped,20,Sunrisers Hyderabad,25
53,Vaibhav Arora,India,Bowler,5,Uncapped,20,Kolkata Knight Riders,60
58,Yash Thakur,India,Bowler,0,Uncapped,20,Lucknow Super Giants,45
56,Shivam Mavi,India,Bowler,32,Uncapped,40,Gujarat Titans,600
55,Mukesh Kumar,India,Bowler,0,Uncapped,20,Delhi Capitals,550
65,Himanshu Sharma,India,Bowler,0,Uncapped,20,Royal Challengers Bangalore,20
69,Manish Pandey,India,Batsman,160,Capped,100,Delhi Capitals,240
67,Will Jacks,England,Batsman,0,Capped,150,Royal Challengers Bangalore,320
80,Romario Shepherd,West Indies,All-rounder,3,Capped,50,Lucknow Super Giants,50
78,Daniel Sams,Australia,All-rounder,16,Capped,75,Lucknow Super Giants,75
83,Kyle Jamieson,New Zealand,Bowler,9,Capped,100,Chennai Super Kings,100
94,Piyush Chawla,India,Bowler,165,Capped,50,Mumbai Indians,50
95,Amit Mishra,India,Bowler,154,Capped,50,Lucknow Super Giants,50
99,Harpreet Singh Bhatia,India,Batsman,4,Uncapped,20,Punjab Kings,40
